address,elementary,middle,high_school,lat,lon
"304 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.992393304706766,-74.10341551912082
"305 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.992560135731566,-74.10333055790622
"306 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.99239165672036,-74.10340518295006
"307 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.992558599880255,-74.10331939555826
"308 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.99239000873395,-74.10339484677931
"309 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.99255706402894,-74.1033082332103
"310 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.99238836074754,-74.10338451060855
"311 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.99255552817762,-74.10329707086234
"312 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.99238671276113,-74.1033741744378
"313 Abbey Ct Ridgewood, NJ",Travell,Benjamin Franklin MS,Ridgewood High School,40.9925539923263,-74.10328590851438
